address,latitude,longitude,yelprating
3330 W Desert Inn Rd,-115.1848176,36.1303969,0
1110 Palms Airport Dr,-115.138373,36.066004,0
5165 S Decatur Blvd,-115.208348,36.096518,2
125 Las Vegas Blvd S,-115.140836,36.168329,21
7135 S Decatur Blvd,-115.211637,36.06014,0
5067 Madre Mesa Dr,-115.2081952,36.2071172,0
900 S Rancho Dr,-115.1731489,36.1600933,6
811 Grier Dr,-115.145944,36.069236,0
4855 Boulder Hwy,-115.0679863,36.1167782,0
6835 S Eastern Ave,-115.1202689,36.0659771,1
2475 Arden St,-115.075174,36.144578,0
2475 Arden St,-115.075174,36.144578,0
801 S 16th St,-112.0464385,33.440699,0
7135 S Decatur Blvd,-115.211637,36.06014,0
1110 Palms Airport Dr,-115.138373,36.066004,0
615 N 48th St,-111.976185,33.454567,0
3300 Las Vegas Blvd S,-115.1726254,36.1248875,7
4325 S 30th St,-112.016505,33.407958,0
2120 N Central Ave,-112.074394,33.471364,1
201 E Jefferson St,-112.07134,33.44575,4
4800 N 22nd St,-112.035107,33.507112,1
401 E Jefferson St,-112.0679,33.44624,2
3770 S Las Vegas Blvd,-115.1766712,36.1045005,25
2600 N Central Ave,-112.0744197,33.4771144,5
4041 N Central Ave,-112.074,33.4941,3
1500 N Central Ave,-112.07417,33.46516,1
4675 E Cotton Center Blvd,-111.9799312,33.4034338,1
201 E Jefferson St,-112.07134,33.44575,4
1402 E Buckeye Rd,-112.0481,33.42304,1
1402 E Buckeye Rd,-112.0481,33.42304,1
211 W Monroe St,-112.0777,33.4518,3
120 E Van Buren St,-112.071914,33.4519049,0
4530 W Nevso Dr,-115.2017854,36.11447,3
6565 Spencer St,-115.128,36.07055,1
270 E Pamalyn Ave,-115.1607317,36.0663254,0
4444 W Sunset Rd,-115.2003378,36.0724978,0
4041 N Central Ave,-112.074,33.4941,3
3110 N Central Ave,-112.075269,33.484027,8
511 W Adams St,-112.08085,33.44913,1
302 E Carson Ave,-115.143522,36.168619,5
2600 N Central Ave,-112.0744197,33.4771144,5
